City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,kupang,ID,-10.1667,123.5833,81.18,69,40,12.66,scattered clouds
289,bonavista,CA,48.6499,-53.1147,46.11,70,82,20.29,broken clouds
290,ambilobe,MG,-13.2,49.05,87.82,44,1,3.51,clear sky
291,arsk,RU,56.0915,49.8778,76.78,47,3,7.61,clear sky
292,fuerte olimpo,PY,-21.0415,-57.8738,75.36,59,100,7.29,overcast clouds
293,evensk,RU,61.95,159.2333,37.74,97,100,4.25,light rain
294,marawi,PH,7.9986,124.2928,76.64,94,66,1.92,broken clouds
295,belebey,RU,54.1167,54.1167,74.23,45,7,6.89,clear sky
296,manaus,BR,-3.1019,-60.025,77.49,88,75,6.91,broken clouds
297,divnoye,RU,45.9089,43.3547,83.39,37,29,7.58,scattered clouds
298,yebaishou,CN,41.3975,119.6408,68.09,28,100,11.92,overcast clouds
299,sedan,FR,49.6667,5.0,63.72,53,97,5.93,overcast clouds
300,bud,US,39.447,-86.1758,67.95,95,100,5.06,overcast clouds
301,shintomi,JP,32.0785,131.4723,72.72,73,100,7.76,overcast clouds
302,kasungu,MW,-13.0333,33.4833,76.01,34,0,5.68,clear sky
303,qazanbulaq,AZ,40.6192,46.6519,79.7,44,34,5.23,scattered clouds
304,gillette,US,44.2911,-105.5022,42.24,94,90,17.0,overcast clouds
305,batticaloa,LK,7.7102,81.6924,89.94,56,91,2.33,overcast clouds
306,hobyo,SO,5.3505,48.5268,83.53,68,63,20.6,broken clouds
307,tuatapere,NZ,-46.1333,167.6833,49.82,88,100,6.6,light rain
308,tawang,IN,27.5833,91.8667,60.94,78,90,5.59,overcast clouds
309,norman wells,CA,65.282,-126.8329,39.24,93,90,5.75,overcast clouds
310,lotofaga,WS,-13.9764,-171.8578,74.98,66,77,7.0,broken clouds
311,nelson bay,AU,-32.7167,152.15,59.09,70,99,4.0,light rain
312,bonthe,SL,7.5264,-12.505,85.62,67,82,4.09,broken clouds
